ID,Hora,Lugar,Tipo,Titulo_en,Titulo_es,Titulo_pt,Titulo_ja,Orador,Cargo_en,Cargo_es,Cargo_pt,Cargo_ja,Descripcion_en,Descripcion_es,Descripcion_pt,Descripcion_ja,ImagenOrador
11,12:30 - 13:30,Ambos,Networking,Lunch,Almuerzo,Almoço,昼食,Staff,Event,Evento,Evento,イベント,Lunch break and free networking among attendees and speakers.,Pausa para el almuerzo y networking libre entre los asistentes y oradores.,Pausa para o almoço e networking livre entre os participantes e palestrantes.,参加者とスピーカー間の昼食休憩と自由なネットワーキング。,/images/lunch.png
12,13:30 - 14:10,Auditorio,Panel,Sport Stage,Escenario Deportivo,Palco Esportivo,スポーツステージ,"COB, CBJ, CBF + 1",Sports Leaders,Dirigentes Deportivos,Líderes Esportivos,スポーツリーダー,Exploring blockchain use cases in the world of sports.,Explorando casos de uso de blockchain en el mundo del deporte.,Explorando casos de uso de blockchain no mundo dos esportes.,スポーツ界におけるブロックチェーンのユースケースを探る。,/images/sport_stage.jpg
13,14:00 - 14:45,Arquibancada,Taller,Verified Trust Protocol,Protocolo de Confianza Verificada,Protocolo de Confiança Verificada,検証済み信頼プロトコル,Andamio,Andamio Team,Equipo Andamio,Equipe Andamio,Andamioチーム,"Presentation of the ""Andamio"" protocol for distributed trust built on Cardano.","Presentación del protocolo ""Andamio"" para confianza distribuida construido en Cardano.","Apresentação do protocolo ""Andamio"" para confiança distribuída construído na Cardano.",Cardano上に構築された分散型信頼のための「Andamio」プロトコルのプレゼンテーション。,/images/andamio.jpg
14,14:15 - 15:05,Auditorio,Presentation,Cardano Tech Stage,Escenario Técnico de Cardano,Palco Técnico da Cardano,Cardano技術ステージ,"TxPipe, Exura, Gamechanger, Edda Labs",Representatives,Representantes,Representantes,代表者,Showcasing the latest technological innovations from the Cardano ecosystem.,Showcasing de las últimas innovaciones tecnológicas del ecosistema Cardano.,Apresentação das últimas inovações tecnológicas do ecossistema Cardano.,Cardanoエコシステムの最新技術革新のショーケース。,/images/tech_stage.jpg
15,14:45 - 15:15,Arquibancada,Taller,Tapdano,Tapdano,Tapdano,タプダノ,Tapdano,Tapdano Team,Equipo Tapdano,Equipe Tapdano,Tapdanoチーム,Demonstration and workshop on the Tapdano micropayments platform.,Demostración y taller sobre la plataforma de micropagos Tapdano.,Demonstração e workshop sobre a plataforma de micropagamentos Tapdano.,Tapdanoマイクロペイメントプラットフォームに関するデモンストレーションとワークショップ。,/images/tapdano.jpg
16,15:00 - 16:00,Arquibancada,Taller,Building ZK-Powered Dapps,Creando Dapps con ZK,Construindo Dapps com ZK,ZK搭載Dappsの構築,Edda Labs & Mesh,Technical Teams,Equipos Técnicos,Equipes Técnicas,技術チーム,Advanced workshop on building Dapps with Zero-Knowledge technology.,Taller avanzado sobre la construcción de Dapps con tecnología Zero-Knowledge.,Workshop avançado sobre a construção de Dapps com tecnologia Zero-Knowledge.,ゼロ知識技術を用いたDapps構築に関する上級ワークショップ。,/images/edda_labs.jpg
17,15:10 - 15:40,Auditorio,Panel,Education Stage,Escenario de Educación,Palco da Educação,教育ステージ,"PUC, UnB, UFRJ, Uni. Petrobras",Academic Representatives,Representantes Académicos,Representantes Acadêmicos,学術代表,The future of education and academic certification through blockchain.,El futuro de la educación y la certificación académica a través de blockchain.,O futuro da educação e da certificação acadêmica através da blockchain.,ブロックチェーンによる教育と学術認証の未来。,/images/education_stage.jpg
18,15:45 - 16:15,Auditorio,Panel,Finance Stage,Escenario Financiero,Palco Financeiro,金融ステージ,"Banco do Brasil, HASHdex, Ipanema Ventures",Financial Experts,Expertos Financieros,Especialistas Financeiros,金融専門家,Discussion on the impact of tokenization and DeFi on the traditional financial sector.,Discusión sobre el impacto de la tokenización y DeFi en el sector financiero tradicional.,Discussão sobre o impacto da tokenização e do DeFi no setor financeiro tradicional.,トークン化とDeFiが伝統的な金融セクターに与える影響についての議論。,/images/finance_stage.jpg
19,16:15 - 16:45,Auditorio,Fireside,LATAM Cardano Ambassadors,Embajadores de Cardano LATAM,Embaixadores da Cardano LATAM,LATAM Cardanoアンバサダー,"Thiago, Jose, Rodrigo, Sebastian",Cardano Ambassadors,Embajadores Cardano,Embaixadores da Cardano,Cardanoアンバサダー,Conversation with Cardano ambassadors about the growth of the ecosystem in the region.,Conversación con los embajadores de Cardano sobre el crecimiento del ecosistema en la región.,Conversa com os embaixadores da Cardano sobre o crescimento do ecossistema na região.,Cardanoアンバサダーとの地域エコシステムの成長に関する対話。,/images/ambassadors.jpg
20,16:45 - 17:30,Arquibancada,Taller,Gamechanger,Gamechanger,Gamechanger,ゲームチェンジャー,Gamechanger,Gamechanger Team,Equipo Gamechanger,Equipe Gamechanger,Gamechangerチーム,Interactive workshop on the features and future of the Gamechanger wallet.,Taller interactivo sobre las funcionalidades y el futuro de la wallet Gamechanger.,Workshop interativo sobre as funcionalidades e o futuro da carteira Gamechanger.,Gamechangerウォレットの機能と未来に関するインタラクティブワークショップ。,/images/gamechanger.png
21,16:50 - 17:25,Auditorio,Panel,Exchanges Stage,Escenario de Exchanges,Palco das Exchanges,取引所ステージ,"MEXC, Binance, Bitget, Mercado Bitcoin",Exchange Representatives,Representantes de Exchanges,Representantes de Exchanges,取引所代表,"Panel with major exchanges on liquidity, regulation, and the future of trading.","Panel con los principales exchanges sobre liquidez, regulación y el futuro del trading.","Painel com as principais exchanges sobre liquidez, regulamentação e o futuro do trading.",主要取引所との流動性、規制、取引の未来に関するパネル。,/images/exchanges.jpg
22,17:25 - 17:40,Auditorio,Keynote,Petrobras Keynote,Keynote de Petrobras,Keynote da Petrobras,Petrobras基調講演,Marcelo Curi,Petrobras,Petrobras,Petrobras,Petrobras,A strategic vision on innovation and blockchain technology from one of LATAM's largest companies.,Una visión estratégica sobre la innovación y la tecnología blockchain desde una de las mayores empresas de LATAM.,Uma visão estratégica sobre inovação e tecnologia blockchain de uma das maiores empresas da LATAM.,LATAM最大手企業の一つからのイノベーションとブロックチェーン技術に関する戦略的ビジョン。,/images/marcelo_curi.jpg
23,17:45 - 18:15,Auditorio,Panel,LATAM Stage,Escenario LATAM,Palco LATAM,LATAMステージ,"Nestor Felix (CAF), Gov. Frigerio (Entre Rios)",LATAM Representatives,Representantes LATAM,Representantes LATAM,LATAM代表,Panel on collaboration and integration of Cardano at the governmental level in Latin America.,Panel sobre la colaboración e integración de Cardano a nivel gubernamental en Latinoamérica.,Painel sobre colaboração e integração da Cardano a nível governamental na América Latina.,ラテンアメリカにおける政府レベルでのCardanoの協力と統合に関するパネル。,/images/latam_stage.jpg
24,18:15 - 18:30,Auditorio,Keynote,Closing Remarks,Palabras de Cierre,Considerações Finais,閉会の辞,Pe. Anderson PUC-Rio TBC,PUC-Rio,PUC-Rio,PUC-Rio,PUC-Rio,Closing words and future vision for the community.,Palabras de cierre y visión a futuro para la comunidad.,Palavras de encerramento e visão de futuro para a comunidade.,コミュニティへの閉会の言葉と未来へのビジョン。,/images/puc_rio.jpg
25,18:30 - 19:15,Auditorio,Show,Ending Show,Show de Cierre,Show de Encerramento,エンディングショー,,Local Artists,Artistas Locales,Artistas Locais,地元アーティスト,Closing the event with a vibrant cultural show to celebrate local culture.,Despedida del evento con un show cultural vibrante para celebrar la cultura local.,Encerramento do evento com um vibrante show cultural para celebrar a cultura local.,地元文化を祝う活気ある文化ショーでイベントを締めくくります。,/images/show_capoeira.jpg
26,19:15 - 23:15,VIP,Networking,VIP Dinner,Cena VIP,Jantar VIP,VIPディナー,Cena VIP en Casa Do Saulo,Jantar de Networking na Casa Do Saulo,,Casa do Saulo,Casa Do Sauloでのネットワーキングディナー,Networking Dinner at Casa Do Saulo,"Cena exclusiva para VIPS, speakers y sponsors en Casa Do Saulo.",Jantar de Networking na Casa Do Saulo,Casa Do Sauloでの VIP、スピーカー、スポンサー限定ディナー,/images/casa_do_saulo.jpg
